material,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8,Week 9,Week 10,Week 11,Week 12,Week 13,Week 14,Week 15,Week 16,Week 17,Week 18,Week 19,Week 20,Week 21,Week 22,Week 23,Week 24,Week 25,Week 26,Week 27,Week 28,Week 29,Week 30,Week 31,Week 32,Week 33,Week 34,Week 35,Week 36,Week 37,Week 38,Week 39,Week 40,Week 41,Week 42,Week 43,Week 44,Week 45,Week 46,Week 47,Week 48,Week 49,Week 50,Week 51,Week 52
1,53008.03,99783.83,5207.99,24085.48,19610.7,45378.15,39761.25,22972.13,16325.61,7264.4,58853.76,1751.77,36233.5,22345.63,57376.52,23667.52,62491.71,208118.33,21449.43,86162.18,10622.46,27324.46,68676.42,59243.59,59588.81,14731.94,73518.87,19794.57,63718.48,98694.68,8297.28,23536.33,18514.56,84332.28,52141.71,9979.6,19008.96,5266.96,180143.21,55028.86,9696.36,43967.27,13742.52,8625.85,19699.94,18083.81,43073.46,72378.3,10784.0,20762.71,24599.33,52868.3
2,29402.08,29417.88,26911.22,54008.2,41840.41,66884.79,23540.18,128269.64,74759.91,56713.84,58320.45,19629.64,19722.1,104829.27,21959.97,23863.59,47176.98,4155.47,7326.8,62777.68,104893.69,11886.61,59594.76,41995.86,120794.16,46003.07,16691.46,11188.78,51329.32,49146.79,40091.73,18997.91,16701.34,85798.9,6691.84,63335.3,35531.01,17135.45,164429.35,59876.05,60556.46,31346.8,109517.95,11071.86,106964.23,49988.66,21693.63,29900.66,18319.66,62164.81,73941.51,119304.83
3,127136.66,51438.66,14779.64,52306.21,144428.14,6988.55,58558.52,58329.05,23530.86,17997.23,79087.17,6238.64,25786.14,56395.51,55535.94,23466.59,53537.64,8546.26,63001.9,45186.37,60456.65,56055.54,10391.87,18534.28,25932.08,59273.52,68784.86,43612.69,14586.31,170959.57,62557.14,2879.55,111022.7,50459.09,43718.25,85149.64,32520.72,77593.07,32298.82,8332.86,41207.12,85750.51,40145.2,41467.21,76630.46,44536.01,16764.22,64894.59,73994.85,39024.0,70398.17,38778.83
4,13103.77,11918.46,157577.54,18694.82,19566.85,3957.94,78680.29,124133.52,34646.78,92672.41,52341.48,14563.02,46888.77,13969.2,16918.71,21477.73,38214.77,27342.5,92222.54,124468.83,72989.63,40564.63,28316.36,66375.39,11957.7,46116.79,20162.33,127225.89,73519.09,89890.63,46402.28,25887.25,40983.91,10959.55,28530.29,60582.56,2584.78,135181.17,16950.44,35284.64,40130.42,16030.0,42863.93,42250.12,83334.24,20351.71,28735.01,17623.45,8331.46,9155.45,23699.72,19431.87
5,71065.79,15079.95,10849.19,31813.34,93076.84,128683.95,29639.61,53428.23,49015.11,57431.64,23092.19,15212.98,41550.32,27158.96,19890.75,104941.53,42511.24,29932.13,37970.33,112956.48,112150.25,149379.08,26711.43,21912.59,29974.55,16531.74,20893.61,23041.49,56239.47,12372.92,114753.11,89032.75,89862.18,19579.6,4678.81,116330.77,26504.43,87105.57,31246.02,7652.52,39539.1,26748.12,27365.48,106596.79,133539.43,95162.43,49448.9,53085.75,71546.21,105311.47,63092.71,61707.92
6,51225.33,19904.71,59806.54,48070.17,47580.36,64166.66,5163.63,78674.47,34398.0,16834.74,142285.65,104142.58,41334.45,105662.76,56979.01,45161.77,61877.79,4229.82,84160.22,19456.81,94775.22,67942.6,20212.13,23154.62,47672.03,81088.79,48731.38,4228.34,11084.75,40197.86,56557.23,78058.7,57657.51,24785.43,13768.92,33862.89,33996.36,47411.27,29997.35,23113.61,7530.04,25577.78,9413.32,33107.48,15330.31,22936.17,62185.58,51485.52,25224.96,64736.63,33883.27,85067.61
7,172402.11,28194.05,9780.42,46604.64,21985.53,42250.05,6022.79,49577.03,25540.38,97968.11,51769.32,105790.19,63588.56,48339.0,45723.22,28385.85,56335.06,17241.93,3721.24,28561.53,32470.03,92280.26,31003.68,47226.44,66811.94,38929.86,188475.3,22449.0,161836.98,20571.15,39362.03,44234.09,7541.77,11417.95,40452.4,78952.78,50913.9,49461.78,63209.86,70466.45,11079.08,105191.9,24777.76,19170.34,112989.24,48905.68,109872.14,7165.51,43218.42,17837.9,19276.44,30511.12
8,56702.96,99400.97,63285.82,30548.92,108873.27,63024.08,26369.83,13046.96,29613.95,26223.93,34530.21,38522.8,161743.15,105012.65,79232.62,80989.53,15403.38,61358.94,49300.21,19904.25,9762.72,60029.89,113886.28,41447.71,5887.6,30160.37,26014.36,37575.42,73313.95,67894.09,121953.36,66978.39,49602.94,32152.6,33986.32,19252.09,16397.17,14448.8,58518.21,100424.06,20779.4,77428.84,33192.83,74928.5,81105.71,55664.84,37104.46,71454.85,23364.5,48349.6,42930.12,24477.26
9,41586.78,20368.89,75943.08,48963.56,21875.19,93505.92,55959.96,59855.98,30037.78,21119.96,62644.31,79099.78,106636.44,54103.24,97220.1,5821.36,31484.02,25182.77,42531.55,56879.56,83455.3,127749.57,42809.47,31580.67,68105.96,35286.43,47330.32,7676.15,17354.24,49953.46,123507.64,10036.81,58414.26,115624.67,85373.72,35080.86,18358.17,157102.66,45825.77,19397.22,193963.63,11085.5,51207.57,27678.09,5039.26,24607.99,29006.86,31075.7,52911.95,54968.5,47924.89,50506.29
10,96896.04,14668.78,73280.16,19483.88,12880.95,19691.42,20180.01,77663.86,26645.74,14407.43,29981.5,23124.9,31414.51,22450.48,38844.63,46705.68,53927.75,54968.3,28855.41,29801.9,11052.15,25072.22,78052.86,59040.32,90111.18,92756.18,54918.91,116894.39,40329.93,41684.88,54086.96,62607.11,16853.01,41518.19,111839.12,44507.49,36903.45,9219.59,6581.17,227368.21,36111.42,4582.09,7215.67,40849.29,17687.21,40924.43,52497.82,10478.62,85285.13,19884.01,42581.08,13064.67
11,107798.0,13295.83,22075.62,97823.8,23054.82,23441.66,107510.16,70687.13,9842.11,24952.35,40758.01,15044.4,43482.1,9336.21,6782.97,20884.64,163306.02,103596.85,29512.81,34847.53,41793.85,46591.22,102937.9,79748.04,65938.09,113916.96,19345.88,84884.34,55752.36,7606.97,81637.99,64495.0,24215.0,62628.73,12627.21,47784.23,82213.75,54894.7,3186.42,63030.0,26481.81,77221.16,67813.07,54380.55,4430.8,92772.08,28849.48,82616.81,17072.11,7366.07,43227.68,24726.28
12,17146.79,30385.47,50984.67,15525.13,11033.85,57043.24,50917.26,11274.07,16787.16,23493.26,9017.54,124910.1,10244.43,57413.51,46439.23,111864.83,49853.83,21739.48,44834.08,36179.45,20331.94,29918.43,82783.0,33537.07,23280.58,60550.58,57558.59,125161.79,68275.46,49365.65,132803.52,62968.24,24854.86,56369.46,34132.14,29169.5,16300.58,47695.33,62920.7,45698.63,63639.77,16129.63,31127.66,41147.71,108629.98,28744.08,56915.77,38814.67,116996.13,12276.69,35345.77,27338.86
13,32038.68,208138.69,23478.3,5289.92,44813.89,27898.25,30262.11,53376.05,61734.81,38093.43,27916.42,38062.59,120030.5,52782.26,52474.16,1777.8,26644.71,94524.98,10682.59,17464.17,86281.59,72999.03,41251.92,35020.25,144952.17,28056.93,25287.62,28061.22,27835.16,78551.01,154253.99,26744.31,72441.04,48238.65,108169.38,20812.77,89896.49,42803.55,32859.19,34452.21,19029.43,48312.12,54540.4,9275.44,20602.64,39170.14,62175.18,50671.89,197698.44,52044.31,54423.71,18790.27
14,113498.43,32236.27,49168.13,61310.33,35532.09,63658.57,99811.84,12083.62,30116.91,73550.84,32507.93,171209.96,17788.25,55142.4,10524.86,67692.56,33028.6,18117.77,62806.87,150403.75,62709.38,64811.86,35896.15,34506.97,27879.35,35813.15,88063.25,30135.67,25224.52,12703.69,26652.53,56253.39,22406.18,43972.26,21893.69,42932.06,8368.84,40493.53,71425.38,42817.32,24351.56,23721.91,34037.25,12976.76,9666.23,41455.09,45493.09,129132.49,50008.4,57694.34,28818.92,79657.7
