product,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8,Week 9,Week 10,Week 11,Week 12,Week 13,Week 14,Week 15,Week 16,Week 17,Week 18,Week 19,Week 20,Week 21,Week 22,Week 23,Week 24,Week 25,Week 26,Week 27,Week 28,Week 29,Week 30,Week 31,Week 32,Week 33,Week 34,Week 35,Week 36,Week 37,Week 38,Week 39,Week 40,Week 41,Week 42,Week 43,Week 44,Week 45,Week 46,Week 47,Week 48,Week 49,Week 50,Week 51,Week 52
1,28.68,166.81,261.66,258.81,301.53,92.22,62.96,72.88,43.57,44.95,84.2,318.35,185.78,166.65,263.13,225.25,108.17,623.73,191.18,50.16,60.69,74.14,156.63,75.31,39.49,342.48,91.37,113.19,191.23,271.57,69.34,121.75,11.62,77.91,53.54,30.99,35.62,299.9,97.98,48.33,56.01,75.15,35.12,163.79,89.47,120.97,156.33,217.12,386.85,50.9,273.37,104.32
2,143.06,84.97,109.72,220.25,530.79,83.51,54.36,777.27,446.4,230.25,91.09,509.97,37.35,186.07,41.92,617.63,421.88,176.54,175.89,136.75,40.41,257.72,272.51,371.84,432.96,132.11,160.69,131.47,149.41,493.33,290.63,140.02,319.01,207.19,203.2,173.8,80.52,6.19,166.08,332.81,279.23,928.39,56.68,420.0,129.34,292.76,137.19,194.76,481.62,223.01,186.0,232.13
3,260.2,467.41,512.21,118.13,486.65,202.96,463.77,62.62,312.92,142.51,374.55,333.43,48.93,252.9,62.09,157.79,371.85,299.14,263.0,339.77,257.85,145.72,204.66,331.39,147.88,123.72,128.7,189.87,19.81,32.41,357.84,98.61,48.97,131.9,382.69,540.31,55.5,203.75,230.11,44.73,210.67,153.09,26.39,171.24,403.32,158.1,81.57,633.14,176.85,319.66,139.47,269.23
4,175.41,339.2,174.31,313.2,199.28,245.12,286.44,131.39,129.7,370.48,129.95,30.19,85.81,115.75,71.7,118.77,275.11,145.66,137.65,272.52,103.73,143.56,286.28,271.33,104.41,28.43,96.51,17.53,80.97,169.05,142.85,27.32,213.79,592.1,391.47,215.16,494.99,68.75,26.37,48.25,104.0,176.07,139.25,179.67,406.77,113.88,135.33,156.79,60.68,110.3,26.83,156.89
5,203.11,251.54,47.35,44.18,210.45,109.76,11.56,375.85,117.6,56.62,169.37,81.87,101.04,205.52,587.17,40.09,207.35,135.86,190.23,80.1,159.75,97.04,316.45,55.52,110.34,747.71,98.76,61.89,73.33,603.66,132.73,293.22,143.55,72.64,35.8,148.63,604.39,142.79,200.05,254.86,34.44,226.85,118.86,152.48,134.56,255.95,128.31,110.48,192.96,441.19,167.77,38.13
6,33.61,70.73,24.13,63.84,120.13,66.93,145.5,121.44,134.08,74.88,74.56,46.99,35.07,258.74,60.02,70.24,156.73,232.73,74.14,177.3,114.02,67.03,20.14,125.25,28.37,44.13,103.22,32.36,23.6,158.87,151.42,113.61,43.11,22.55,106.48,59.49,129.02,11.51,84.14,154.7,192.95,96.03,51.91,120.89,103.78,84.47,42.58,69.64,40.51,42.0,26.7,90.52
7,7.78,107.07,21.98,84.22,92.05,214.32,82.82,163.68,218.71,167.39,124.14,229.46,142.59,170.19,98.6,87.38,131.74,58.85,62.22,82.44,72.73,130.54,73.34,142.5,153.58,72.05,183.7,36.95,48.34,266.72,246.77,85.23,158.84,19.43,72.02,54.12,114.52,117.11,73.38,87.9,97.12,316.59,39.66,123.85,207.34,162.65,100.26,198.87,257.24,13.21,342.01,45.22
8,45.04,256.96,440.69,235.02,58.12,340.18,267.19,67.7,482.3,210.1,241.69,104.32,212.99,839.43,331.92,480.58,365.47,81.75,1437.93,303.66,507.0,221.26,587.26,750.31,256.3,125.84,410.36,357.05,367.98,65.06,188.31,81.63,229.74,159.37,429.5,120.56,252.39,253.82,261.89,353.46,1387.97,85.97,161.42,80.29,192.87,256.98,210.26,262.87,104.9,411.63,284.83,1119.48
9,899.67,832.21,360.73,242.49,351.86,88.96,457.18,230.02,240.2,404.3,171.54,312.1,232.97,311.1,337.77,523.57,215.74,301.04,391.5,249.09,290.43,363.72,248.36,47.98,618.07,251.84,301.34,128.06,304.29,168.93,16.15,155.23,103.61,284.84,332.51,55.8,334.96,163.16,442.5,114.21,379.24,712.34,100.14,83.16,267.4,781.18,87.14,119.37,180.65,217.04,347.73,68.6
10,335.22,257.5,512.37,425.45,59.44,284.97,423.31,477.06,872.2,822.47,60.69,96.63,602.86,484.42,753.19,452.82,222.28,146.11,530.02,411.77,161.18,726.59,362.16,1328.89,1092.29,78.64,910.04,597.93,211.9,493.33,318.76,1127.65,795.59,541.86,602.86,128.07,263.21,570.57,198.47,588.02,582.7,220.36,418.91,440.22,850.11,73.47,973.1,46.47,564.5,104.43,659.77,268.81
